Fri Oct 29 11:13:01 2021    output.dat

         154024258 function calls (153767482 primitive calls) in 149.747 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      978   15.946    0.016   15.946    0.016 {method 'encode' of 'ImagingEncoder' objects}
   525600    9.290    0.000   74.416    0.000 C:\Users\Maximilian\PycharmProjects\hisimupdated\HiSim\hisim\simulator.py:219(process_one_timestep)
       68    8.036    0.118    8.042    0.118 {method 'draw_quad_mesh' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
 44057970    7.270    0.000    7.270    0.000 C:\Users\Maximilian\PycharmProjects\hisimupdated\HiSim\hisim\component.py:71(set_output_value)
  1335090    6.642    0.000    8.842    0.000 C:\Users\Maximilian\PycharmProjects\hisimupdated\HiSim\hisim\component.py:74(is_close_enough_to_previous)
       68    6.155    0.091    6.195    0.091 C:\Users\Maximilian\PycharmProjects\hisimupdated\venv\lib\site-packages\pandas\core\internals\managers.py:1478(_interleave)
  1335090    5.740    0.000   14.818    0.000 C:\Users\Maximilian\PycharmProjects\hisimupdated\HiSim\hisim\components\controller.py:360(i_simulate)
  1335090    5.405    0.000    8.643    0.000 C:\Users\Maximilian\PycharmProjects\hisimupdated\HiSim\hisim\components\hydrogen_generator.py:354(i_simulate)
  1335090    4.909    0.000    7.855    0.000 C:\Users\Maximilian\PycharmProjects\hisimupdated\HiSim\hisim\components\hydrogen_generator.py:135(i_simulate)
     3196    4.378    0.001    4.379    0.001 {method 'call' of '_tkinter.tkapp' objects}
  8010540    4.152    0.000   44.672    0.000 C:\Users\Maximilian\PycharmProjects\hisimupdated\HiSim\hisim\simulator.py:69(calculate_component)
  1335090    4.008    0.000    5.970    0.000 C:\Users\Maximilian\PycharmProjects\hisimupdated\HiSim\hisim\components\weather.py:120(i_simulate)
      204    3.901    0.019    3.907    0.019 {pandas._libs.lib.maybe_convert_objects}
  8010540    3.873    0.000    5.591    0.000 C:\Users\Maximilian\PycharmProjects\hisimupdated\HiSim\hisim\simulator.py:66(restore_state)
  1335090    3.659    0.000    5.269    0.000 C:\Users\Maximilian\PycharmProjects\hisimupdated\HiSim\hisim\components\controller.py:223(seasonal_storage)
 15537660    2.842    0.000    2.842    0.000 C:\Users\Maximilian\PycharmProjects\hisimupdated\HiSim\hisim\component.py:66(get_input_value)
       68    2.744    0.040    2.752    0.040 C:\Users\Maximilian\PycharmProjects\hisimupdated\venv\lib\site-packages\matplotlib\backends\backend_agg.py:85(__init__)
       34    2.684    0.079    2.684    0.079 {built-in method _tkinter.create}
    37978    2.345    0.000    2.601    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.2032.0_x64__qbz5n2kfra8p0\lib\inspect.py:2907(_bind)
    46610    2.150    0.000    2.150    0.000 {built-in method numpy.array}
 22454929    2.044    0.000    2.044    0.000 {built-in method builtins.abs}
  3153600    1.819    0.000    2.487    0.000 C:\Users\Maximilian\PycharmProjects\hisimupdated\HiSim\hisim\simulator.py:54(save_state)
  3153600    1.698    0.000    2.166    0.000 C:\Users\Maximilian\PycharmProjects\hisimupdated\HiSim\hisim\simulator.py:61(doublecheck)
  1335090    1.686    0.000    2.326    0.000 C:\Users\Maximilian\PycharmProjects\hisimupdated\HiSim\hisim\components\controller.py:302(simulate_storage)
