,south [W/kWp],east-west [W/kWp],025-east-west_075-south [W/kWp]
2015-01-01 00:00:00+01:00,0,0,0
2015-01-01 00:15:00+01:00,0,0,0
2015-01-01 00:30:00+01:00,0,0,0
2015-01-01 00:45:00+01:00,0,0,0
2015-01-01 01:00:00+01:00,0,0,0
2015-01-01 01:15:00+01:00,0,0,0
2015-01-01 01:30:00+01:00,0,0,0
2015-01-01 01:45:00+01:00,0,0,0
2015-01-01 02:00:00+01:00,0,0,0
2015-01-01 02:15:00+01:00,0,0,0
2015-01-01 02:30:00+01:00,0,0,0
2015-01-01 02:45:00+01:00,0,0,0
2015-01-01 03:00:00+01:00,0,0,0
2015-01-01 03:15:00+01:00,0,0,0
2015-01-01 03:30:00+01:00,0,0,0
2015-01-01 03:45:00+01:00,0,0,0
2015-01-01 04:00:00+01:00,0,0,0
2015-01-01 04:15:00+01:00,0,0,0
2015-01-01 04:30:00+01:00,0,0,0
2015-01-01 04:45:00+01:00,0,0,0
2015-01-01 05:00:00+01:00,0,0,0
2015-01-01 05:15:00+01:00,0,0,0
2015-01-01 05:30:00+01:00,0,0,0
2015-01-01 05:45:00+01:00,0,0,0
2015-01-01 06:00:00+01:00,0,0,0
2015-01-01 06:15:00+01:00,0,0,0
2015-01-01 06:30:00+01:00,0,0,0
2015-01-01 06:45:00+01:00,0,0,0
2015-01-01 07:00:00+01:00,0,0,0
2015-01-01 07:15:00+01:00,0,0,0
2015-01-01 07:30:00+01:00,0,0,0
2015-01-01 07:45:00+01:00,0,0,0
2015-01-01 08:00:00+01:00,0,0,0
2015-01-01 08:15:00+01:00,0,0,0
2015-01-01 08:30:00+01:00,36,22,33
2015-01-01 08:45:00+01:00,112,65,100
2015-01-01 09:00:00+01:00,184,100,163
2015-01-01 09:15:00+01:00,255,127,223
2015-01-01 09:30:00+01:00,332,163,290
2015-01-01 09:45:00+01:00,389,178,337
2015-01-01 10:00:00+01:00,441,188,378
2015-01-01 10:15:00+01:00,425,160,358
2015-01-01 10:30:00+01:00,358,145,304
2015-01-01 10:45:00+01:00,323,137,277
2015-01-01 11:00:00+01:00,400,155,338
2015-01-01 11:15:00+01:00,424,159,358
2015-01-01 11:30:00+01:00,428,163,362
2015-01-01 11:45:00+01:00,446,166,376
2015-01-01 12:00:00+01:00,489,187,413
2015-01-01 12:15:00+01:00,582,220,491
2015-01-01 12:30:00+01:00,352,160,304
2015-01-01 12:45:00+01:00,701,263,592
2015-01-01 13:00:00+01:00,527,179,440
2015-01-01 13:15:00+01:00,530,170,440
2015-01-01 13:30:00+01:00,510,167,424
2015-01-01 13:45:00+01:00,487,164,407
2015-01-01 14:00:00+01:00,446,162,375
2015-01-01 14:15:00+01:00,139,85,125
2015-01-01 14:30:00+01:00,180,100,160
2015-01-01 14:45:00+01:00,86,62,80
2015-01-01 15:00:00+01:00,52,42,50
2015-01-01 15:15:00+01:00,111,64,99
2015-01-01 15:30:00+01:00,96,59,87
2015-01-01 15:45:00+01:00,33,24,30
2015-01-01 16:00:00+01:00,0,0,0
2015-01-01 16:15:00+01:00,0,0,0
2015-01-01 16:30:00+01:00,0,0,0
2015-01-01 16:45:00+01:00,0,0,0
2015-01-01 17:00:00+01:00,0,0,0
2015-01-01 17:15:00+01:00,0,0,0
2015-01-01 17:30:00+01:00,0,0,0
2015-01-01 17:45:00+01:00,0,0,0
2015-01-01 18:00:00+01:00,0,0,0
2015-01-01 18:15:00+01:00,0,0,0
2015-01-01 18:30:00+01:00,0,0,0
2015-01-01 18:45:00+01:00,0,0,0
2015-01-01 19:00:00+01:00,0,0,0
2015-01-01 19:15:00+01:00,0,0,0
2015-01-01 19:30:00+01:00,0,0,0
2015-01-01 19:45:00+01:00,0,0,0
2015-01-01 20:00:00+01:00,0,0,0
2015-01-01 20:15:00+01:00,0,0,0
2015-01-01 20:30:00+01:00,0,0,0
2015-01-01 20:45:00+01:00,0,0,0
2015-01-01 21:00:00+01:00,0,0,0
2015-01-01 21:15:00+01:00,0,0,0
2015-01-01 21:30:00+01:00,0,0,0
2015-01-01 21:45:00+01:00,0,0,0
2015-01-01 22:00:00+01:00,0,0,0
2015-01-01 22:15:00+01:00,0,0,0
2015-01-01 22:30:00+01:00,0,0,0
2015-01-01 22:45:00+01:00,0,0,0
