,south [W/kWp],east-west [W/kWp],025-east-west_075-south [W/kWp]
2015-01-01 00:00:00+01:00,0,0,0
2015-01-01 00:15:00+01:00,0,0,0
2015-01-01 00:30:00+01:00,0,0,0
2015-01-01 00:45:00+01:00,0,0,0
2015-01-01 01:00:00+01:00,0,0,0
2015-01-01 01:15:00+01:00,0,0,0
2015-01-01 01:30:00+01:00,0,0,0
2015-01-01 01:45:00+01:00,0,0,0
2015-01-01 02:00:00+01:00,0,0,0
2015-01-01 02:15:00+01:00,0,0,0
2015-01-01 02:30:00+01:00,0,0,0
2015-01-01 02:45:00+01:00,0,0,0
2015-01-01 03:00:00+01:00,0,0,0
2015-01-01 03:15:00+01:00,0,0,0
2015-01-01 03:30:00+01:00,0,0,0
2015-01-01 03:45:00+01:00,0,0,0
2015-01-01 04:00:00+01:00,0,0,0
2015-01-01 04:15:00+01:00,0,0,0
2015-01-01 04:30:00+01:00,0,0,0
2015-01-01 04:45:00+01:00,0,0,0
2015-01-01 05:00:00+01:00,0,0,0
2015-01-01 05:15:00+01:00,0,0,0
2015-01-01 05:30:00+01:00,0,0,0
2015-01-01 05:45:00+01:00,0,0,0
2015-01-01 06:00:00+01:00,0,0,0
2015-01-01 06:15:00+01:00,0,0,0
2015-01-01 06:30:00+01:00,0,0,0
2015-01-01 06:45:00+01:00,0,0,0
2015-01-01 07:00:00+01:00,0,0,0
2015-01-01 07:15:00+01:00,0,0,0
2015-01-01 07:30:00+01:00,0,0,0
2015-01-01 07:45:00+01:00,0,0,0
2015-01-01 08:00:00+01:00,0,0,0
2015-01-01 08:15:00+01:00,0,0,0
2015-01-01 08:30:00+01:00,24,15,22
2015-01-01 08:45:00+01:00,15,12,15
2015-01-01 09:00:00+01:00,38,27,35
2015-01-01 09:15:00+01:00,78,52,72
2015-01-01 09:30:00+01:00,106,68,96
2015-01-01 09:45:00+01:00,275,125,237
2015-01-01 10:00:00+01:00,184,88,160
2015-01-01 10:15:00+01:00,75,60,71
2015-01-01 10:30:00+01:00,140,85,126
2015-01-01 10:45:00+01:00,210,99,182
2015-01-01 11:00:00+01:00,93,74,89
2015-01-01 11:15:00+01:00,72,64,70
2015-01-01 11:30:00+01:00,77,68,75
2015-01-01 11:45:00+01:00,71,65,70
2015-01-01 12:00:00+01:00,56,53,55
2015-01-01 12:15:00+01:00,54,49,53
2015-01-01 12:30:00+01:00,49,47,48
2015-01-01 12:45:00+01:00,37,36,37
2015-01-01 13:00:00+01:00,64,51,60
2015-01-01 13:15:00+01:00,62,56,60
2015-01-01 13:30:00+01:00,40,38,40
2015-01-01 13:45:00+01:00,42,40,42
2015-01-01 14:00:00+01:00,32,30,31
2015-01-01 14:15:00+01:00,25,25,25
2015-01-01 14:30:00+01:00,32,28,31
2015-01-01 14:45:00+01:00,26,24,26
2015-01-01 15:00:00+01:00,9,8,8
2015-01-01 15:15:00+01:00,13,10,12
2015-01-01 15:30:00+01:00,6,5,5
2015-01-01 15:45:00+01:00,2,1,2
2015-01-01 16:00:00+01:00,0,0,0
2015-01-01 16:15:00+01:00,0,0,0
2015-01-01 16:30:00+01:00,0,0,0
2015-01-01 16:45:00+01:00,0,0,0
2015-01-01 17:00:00+01:00,0,0,0
2015-01-01 17:15:00+01:00,0,0,0
2015-01-01 17:30:00+01:00,0,0,0
2015-01-01 17:45:00+01:00,0,0,0
2015-01-01 18:00:00+01:00,0,0,0
2015-01-01 18:15:00+01:00,0,0,0
2015-01-01 18:30:00+01:00,0,0,0
2015-01-01 18:45:00+01:00,0,0,0
2015-01-01 19:00:00+01:00,0,0,0
2015-01-01 19:15:00+01:00,0,0,0
2015-01-01 19:30:00+01:00,0,0,0
2015-01-01 19:45:00+01:00,0,0,0
2015-01-01 20:00:00+01:00,0,0,0
2015-01-01 20:15:00+01:00,0,0,0
2015-01-01 20:30:00+01:00,0,0,0
2015-01-01 20:45:00+01:00,0,0,0
2015-01-01 21:00:00+01:00,0,0,0
2015-01-01 21:15:00+01:00,0,0,0
2015-01-01 21:30:00+01:00,0,0,0
2015-01-01 21:45:00+01:00,0,0,0
2015-01-01 22:00:00+01:00,0,0,0
2015-01-01 22:15:00+01:00,0,0,0
2015-01-01 22:30:00+01:00,0,0,0
2015-01-01 22:45:00+01:00,0,0,0
