Component;Investment in EUR;Device CO2-footprint in kg;Lifetime in years
BUI2_Building;0.0;0.0;1
BUI2_UTSPConnector;0.0;0.0;1
BUI2_PVSystem;9.36;3.89;25
BUI2_HeatDistributionController;0.0;0.0;1
BUI2_HeatPumpController;0.0;0.0;1
BUI2_AdvancedHeatPumpHPLib;22.45;2.46;10
BUI2_DHWBoiler;6.26;0.0;20
BUI2_DHWHeatpumpController;0.0;0.0;1
BUI2_DHWHeatPump;17.42;1.91;10
BUI2_SimpleHotWaterStorage;2.64;0.02;100
BUI2_HeatDistributionSystem;3.07;0.0;50
BUI2_ElectricityMeter;0.0;0.0;1
BUI2_Battery;0.0;0.0;10
BUI2_L2EMSElectricityController;0.0;0.0;1
BUI2_Total_per_simulated_period_without_heatpump;21.33;3.91;---
BUI2_Total_per_simulated_period_only_heatpump;39.87;4.37;---
BUI2_Total_per_simulated_period;61.2;8.28;---
BUI2_Total_without_heatpump;48736.45;7181.67;---
BUI2_Total_only_heatpump;20787.53;2277.41;---
BUI2_Total;69523.97;9459.08;---
BUI1_Building;0.0;0.0;1
BUI1_UTSPConnector;0.0;0.0;1
BUI1_PVSystem;9.36;3.89;25
BUI1_HeatDistributionController;0.0;0.0;1
BUI1_HeatPumpController;0.0;0.0;1
BUI1_AdvancedHeatPumpHPLib;22.45;2.46;10
BUI1_DHWBoiler;6.26;0.0;20
BUI1_DHWHeatpumpController;0.0;0.0;1
BUI1_DHWHeatPump;17.42;1.91;10
BUI1_SimpleHotWaterStorage;2.64;0.02;100
BUI1_HeatDistributionSystem;3.07;0.0;50
BUI1_ElectricityMeter;0.0;0.0;1
BUI1_Battery;0.0;0.0;10
BUI1_L2EMSElectricityController;0.0;0.0;1
BUI1_Total_per_simulated_period_without_heatpump;21.33;3.91;---
BUI1_Total_per_simulated_period_only_heatpump;39.87;4.37;---
BUI1_Total_per_simulated_period;61.2;8.28;---
BUI1_Total_without_heatpump;48736.45;7181.67;---
BUI1_Total_only_heatpump;20787.53;2277.41;---
BUI1_Total;69523.97;9459.08;---
District_Weather;0.0;0.0;1
District_PV_Park;9.14;3.8;25
District_ElectricityMeter;0.0;0.0;1
District_Total_per_simulated_period_without_heatpump;9.14;3.8;---
District_Total_per_simulated_period_only_heatpump;0.0;0.0;---
District_Total_per_simulated_period;9.14;3.8;---
District_Total_without_heatpump;11916.15;4957.65;---
District_Total_only_heatpump;0.0;0.0;---
District_Total;11916.15;4957.65;---
Total_per_simulated_period;131.53;20.36;---
Total_per_simulated_period_without_heatpump;51.8;11.63;---
Total_per_simulated_period_only_heatpump;79.73;8.74;---
Total;150964.09;23875.81;---
Total_without_heatpump;109389.04;19320.99;---
Total_only_heatpump;41575.05;4554.82;---
